id,name,number,address,latitude,longitude,total_bases
154,Paseo de la Castellana con Raimundo Fernández,138,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,40.4457414,-3.6917932,24
159,José Gutiérrez Abascal ,139,Calle José Gutiérrez Abascal nº 2,40.4396792,-3.6907784,24
162,Velázquez 130,140,Calle Velázquez nº 130,40.4385127,-3.6831578,27
165,Paseo de la Castellana - Glorieta de Emilio Castelar,141,Paseo de la Castellana nº 43,40.4355143,-3.6892368,12
167,Castellana 42,142,Paseo de la Castellana nº 42,40.4334087,-3.6879154,24
166,Diego de León 52,143,Calle Diego de León nº 52,40.4345973,-3.6784920,24
170,Juan Bravo 50,144,Calle Juan Bravo nº 50,40.4323655,-3.6758555,24
171,Ortega y Gasset 87,145,Calle Ortega y Gasset nº 87,40.4298870,-3.6712823,24
155,María Francisca 1,146,Calle María Francisca nº 1,40.4442258,-3.6787169,18
148,Doctor Arce 45,147,Avenida del Doctor Arce nº 45,40.4483269,-3.6797296,24
144,Serrano 210,148,Calle Serrano nº 210,40.4510188,-3.6817962,24
146,Paseo de la Habana 42,149,Paseo de la Habana nº 42,40.4498613,-3.6881689,24
147,Castellana frente a Hermanos Pinzón,150,Paseo de la Castellana nº 122,40.4488924,-3.6905604,24
145,Orense 12,151,Calle Orense nº 12,40.4489101,-3.6952943,24
142,General Perón 1,152,Avenida del General Perón frente al nº 4,40.4527164,-3.6990077,24
143,General Perón con Poeta Joan Maragall,153,Avenida del General Perón frente al nº 36,40.4522454,-3.693085,24
141,Orense 36,154,Calle Orense nº 36,40.4548456,-3.6946218,24
139,San Germán 57,155,Calle San Germán nº 57,40.4572824,-3.7009675,24
140,Sor Ángela de la Cruz,156,Calle Sor Ángela de la Cruz nº 2,40.4592351,-3.6915330,24
137,Castellana 164,157,Paseo de la Castellana nº 164,40.4591366,-3.6894151,24
138,Alberto Alcocer,158,Avenida de Alberto Alcocer nº 22,40.4585318,-3.6847150,24
173,Paseo de la Habana 63,159,Paseo de la Habana nº 63,40.4543852,-3.6835926,24
172,Colombia,160,Calle Colombia nº 7,40.4572466,-3.6763439,24
132,Paseo de la Florida,161,Paseo de la Florida nº 8,40.4219665,-3.7224983,27
133,Metro Pirámides,162,Paseo de los Olmos nº 28,40.4034076,-3.7108108,24
134,Paseo de la Esperanza,163,Paseo de la Esperanza nº 2,40.4035988,-3.7064516,21
136,Paseo de las Delicias,164,Paseo de las Delicias nº 92,40.3972616,-3.6945025,24
135,Entrada Matadero,165,Paseo de la Chopera nº 14,40.3928821,-3.6975708,27
174,Segovia 26,166,Calle Segovia nº 26,40.4138333,-3.7135833,24
175,Segovia 45,167,Calle Segovia nº 45,40.413736,-3.717487,24
176,Batalla del Salado,168,Paseo Santa María de la Cabeza nº 29,40.4044722,-3.6959166,24
177,Pirámides,169,Calle Toledo nº 181,40.4016111,-3.7138055,24
178,Paseo de la Esperanza,170,Paseo de la Esperanza nº 21,40.401,-3.7043611,24
179,Embajadores-Cáceres,171,Calle Embajadores nº 101,40.39975,-3.6983888,24
180,Delicias,172,Calle Bustamante nº 1,40.4008888,-3.6935833,24
181,Puente Praga,173,Paseo de la Esperanza nº 59,40.3981798,-3.7023918,24
182,Madrid Río-Yeserías,174,Paseo de Yeserías nº 45,40.3974444,-3.7065277,27
183,Jaime el Conquistador,175,Calle Jaime el Conquistador nº 30,40.3962222,-3.6983055,21
184,Beata,176,Calle Alicante nº 3,40.39425,-3.6937222,24
185,Legazpi,177,Calle Bolívar nº 3,40.3914722,-3.6941944,24
186,Junta Municipal Retiro,178,Calle León Gil de Palacio nº 3,40.4029202,-3.6788343,24
187,Puente de Vallecas,179,Avenida de la Albufera nº 6,40.3979722,-3.66925,24
188,Méndez Álvaro,180,Calle Retama nº 5,40.3941388,-3.6758888,24
189,Retiro-Ibiza,181,Calle Ibiza nº 18,40.41825,-3.6766111,27
190,Parque Roma,182,Calle Alcalde Sáinz de Baranda frente al nº 107,40.4186666,-3.6657777,24
191,Doctor Esquerdo-Hermosilla,183,Calle Hermosilla nº 135,40.425635,-3.669339,24
192,Marqués de Zafra,184,Paseo Marqués de Zafra nº 24,40.426,-3.6653055,24
193,Quinta Fuente del Berro,185,Calle Sancho Dávila esquina Paseo Marqués de Zafra,40.4250833,-3.6615277,24
194,General Pardiñas,186,Calle General Pardiñas nº 56,40.4290555,-3.6782777,24
195,Alcalá-Ventas,187,Calle Alejandro González nº 1,40.4301666,-3.6638888,24
196,Puente de Ventas,188,Avenida de Daroca nº 2,40.4311944,-3.6590555,27
197,Avenida Donostiarra,189,Calle Virgen de la Alegría nº 18,40.4351256,-3.6554918,24
198,Velázquez-Diego de León,190,Calle Velázquez nº 91,40.4343333,-3.6835833,24
199,Diego de león,191,Calle Alonso Heredia nº 1,40.4346388,-3.674,18
200,Avenida de los Toreros,192,Avenida de los Toreros nº 3,40.4318611,-3.6714166,27
201,Ventas,193,Avenida de los Toreros nº 49,40.4324722,-3.6655555,27
202,Avenida de América 2,194,Calle Francisco Silvela nº 86,40.43725,-3.6772222,24
203,Avenida de América 1,195,Calle Padre Indalecio Hernández nº 1,40.4392222,-3.6754444,24
204,Prosperidad,196,Calle Suero de Quiñones nº 2,40.4441388,-3.6751388,24
205,Parque Berlín,197,Avenida de Concha Espina nº 34,40.4515833,-3.6780555,24
206,Rubén Darío,198,Glorieta Rubén Darío 2,40.4331111,-3.6915555,24
207,Fernando el Católico,199,Calle Fernando el Católico nº 61,40.4343611,-3.7149166,27
208,Quevedo,200,Glorieta de Quevedo nº 5,40.4336944,-3.7046666,24
209,Canal,201,Calle José Abascal frente al nº 2,40.4386944,-3.7038333,24
210,Parque Santander,202,Calle Santander esquina con Avenida de Filipinas,40.4411388,-3.7080833,24
211,San Francisco de Sales,203,Calle General Ampudia nº 2,40.44175,-3.7144722,24
212,Cuatro Caminos 2,204,Calle Doctor Santero nº 1,40.4476666,-3.7041666,24
213,Estrecho,205,Calle Navarra nº 1,40.4535,-3.7032777,24
214,Metro Tetuán,206,Calle Marqués de Viana nº 3,40.4607502,-3.6989925,24
215,Remonta,207,Calle Azucenas nº 1,40.4630277,-3.6973333,18
216,Plaza de Castilla,208,Paseo de la Castellana nº 216,40.4663611,-3.6886388,24
217,Plaza de Castilla 2,209,Paseo Castellana (Fundación Canal),40.4656779,-3.6887722,24
218,Tres Cruces,210,Calle Tres Cruces nº 7,40.419674,-3.7026735,27
219,Desengaño,211,Calle Desengaño nº 1,40.42059,-3.70239,24
220,Marqués de Vadillo,212,Glorieta Marqués de Vadillo nº 9,40.398247,-3.716591,24
221,Glorieta de Cádiz,213,Calle Antonio López nº 129,40.38895,-3.70017,24
222,Condesa de Venadito,214,Calle Condesa de Venadito nº 2,40.44315,-3.65741,24
223,Gutierre de Cetina,215,Calle Gutierre de Cetina nº 77,40.429706,-3.640994,24
224,Puerta del Ángel,216,Plaza Puerta del Ángel nº 4,40.413764,-3.728318,24
225,Pedro Rico,217,Calle Pedro Rico nº 4,40.481086,-3.688463,24
226,Camino Vinateros,218,Calle Camino de los Vinateros nº 28,40.41053,-3.65779,24
227,Marroquina,219,Calle Camino de los Vinateros nº 108,40.408264,-3.646697,24
228,Plaza del Encuentro,220,Calle Arroyo de las Pilillas nº 6,40.40617,-3.65122,24
229,Pavones,221,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,24
230,Antonio López,222,Calle Eugenio Caxes frente al nº 12,40.3917871,-3.7026789,24
231,Ermita Santo,223,Paseo de la Ermita del Santo nº 48,40.406837862773465 ,-3.7244893989507686,24
232,Caramuel,224,Calle Caramuel nº 51,40.40913630273305,-3.728533714316331,24
233,Doctor Lozano,225,Calle Sierra Toledana nº 33,40.40248333540473,-3.660188083470652,24
234,Sierra Toledana,226,Camino de Valderribas nº 94,40.39901531507069,-3.6607768678037744,24
236,Concordia,227,Calle Arroyo del Olivar nº 6,40.39382977920336,-3.6659362429356372,24
235,San Delfín,228,Calle San Delfín nº 9,40.39440607959559,-3.7080429728445563,24
237,C.D. Concepción,229,Calle Jose del Hierro nº 5,40.43715089959262,-3.64835857929032,24
238,Carlota O’Neill,230,Calle Carlota O'Neill nº 32,40.44370542379883,-3.648958444298144,24
239,Derechos Humanos,231,Calle Derechos Humanos nº 12,40.43965673033275,-3.6557656204708775,24
240,José María Pereda,232,Calle José María de Pereda nº 1,40.43272086245887,-3.6485306152875148,24
241,Marqués de Corbera 12,233,Avenida Marqués de Corbera nº 12,40.422962108947424,-3.6555552857442697,24
242,Marqués de Corbera 52,234,Avenida Marqués de Corbera nº 52,40.426207143200884,-3.651034981803642,24
243,Embajadores 191,235,Calle Sodio nº 1B,40.389258643579105,-3.6903589643353483,24
244,Paseo Imperial,236,Paseo Imperial nº 20,40.40765396169372,-3.7172213778842007,24
245,Pablo Iglesias,237,Calle Francisco Balseiro nº 1,40.451333,-3.710525,24
246,San Germán 5,238,Calle San Germán nº 5,40.45619382579544,-3.6929376751795306,24
247,Francos Rodríguez,239,Calle Francos Rodríguez nº 62,40.45673408797698,-3.708002730875242,24
248,Avenida Brasilia,240,Avenida de Brasilia frente al nº 9,40.43666,-3.66096,24
249,Camilo José Cela,241,Avenida de Camilo José Cela nº 23,40.4378,-3.66779,24
250,Avenida Bruselas,242,Avenida Bruselas nº 56,40.43865,-3.66301,24
251,Cartagena,243,Calle Cartagena nº 34,40.43503,-3.67012,24
252,Hospital Clínico,244,Calle Isaac Peral nº 44,40.44003,-3.71757,24
253,Galileo,245,Calle Galileo nº 63,40.4364,-3.71019,24
254,Santa Engracia 87,246,Calle Santa Engracia nº 87,40.43604,-3.69928,24
270,Zurbano,247,Calle Zurbano nº 90,40.43837,-3.69281,24
256,Torre Cepsa,248,Calle Sinesio Delgado nº 2,40.47435,-3.68797,24
257,Manuel Caldeiro,249,Paseo de la Castellana nº 298,40.47938,-3.68532,24
258,Serrano 113,250,Calle Serrano nº 113B,40.44106,-3.68609,24
259,Corazón de María,251,Calle Santa Hortensia nº 31,40.44421,-3.66683,24
260,Chamartín,252,Calle Rodríguez Jaén nº 40,40.4716,-3.68391,24
261,Doctor Fleming,253,Calle Doctor Fleming nº 7,40.45546,-3.68844,21
262,Pío XII,254,Avenida Pío XII nº 3,40.46041,-3.67712,24
263,López Pozas,255,Calle General López Pozas nº 2,40.46361,-3.68514,24
264,Reina Victoria,256,Calle Beatriz de Bobadilla frente al nº 2,40.44635,-3.71383,24
265,INEF,257,Avenida Juan de Herrera frente a la calle Paul Guinard,40.43896,-3.72997,24
266,Ciudad Universitaria 1,258,Avenida de la Complutense (Metro Ciudad Universitaria),40.44375,-3.72699,24
267,Ciudad Universitaria 2,259,Avenida de la Complutense (Metro Ciudad Universitaria),40.44342,-3.72693,24
268,Facultad Biología,260,Calle José Antonio Novais frente al nº 12,40.4483322,-3.7272945,24
269,Facultad Derecho,261,Avenida Complutense nº 23,40.45109,-3.72937,24
